enclosingFolder3,enclosingFolder2,enclosingFolder1,filename,xVoxel,yVoxel,zVoxel,unit,xPixels,yPixels,zPixels,path,voxelVolume,genotype,sex,myCellNumber,nMask,vMask,nEroded,vEroded,nRing,vRing,nBranches,nInNoMask,nInMask,nInEroded,nInRing,lenTotal,lenInMask,lenInEroded,lenInRing,dInMask,dInEroded,dInRing
200414,WT Male,Cell 28,Male WTcell 28_3ADVMLEG1L1_ch2.tif,0.14286910304205466,0.14286910304205466,0.43000000000006366,micron,508,320,24,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 28/Male WTcell 28_3ADVMLEG1L1_ch2.tif,0.00877697965973903,wt,male,25,370358,3250.6246328216275,63993,561.6652593656797,243181,2134.394690634997,1074,0,1074,84,794,1862.8735408215314,1862.8735408215314,125.16385393530216,1357.529617956186,0.5730817154377214,3.3166971069661306,0.8727877505482895
200414,WT Male,Cell 29,Male WTcell 29_3ADVMLEG1L1_ch2.tif,0.10903168308065968,0.10903168308065968,0.43000000000006366,micron,506,378,24,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 29/Male WTcell 29_3ADVMLEG1L1_ch2.tif,0.005111800403623364,wt,male,26,504299,2577.8758317468587,89317,456.57067665042797,329479,1684.2308851854223,1366,0,1366,110,1047,1901.1312344494386,1901.1312344494386,154.09236329812282,1416.9593966726193,0.7374797540815476,4.163936344744791,1.128783025636142
200414,WT Male,Cell 3,Male WT cell 3_3ADVMLEG1L1_ch2.tif,0.14189054393172454,0.14189054393172454,0.43000000000006366,micron,510,280,27,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 3/Male WT cell 3_3ADVMLEG1L1_ch2.tif,0.008657158376614762,wt,male,27,451094,3905.1922007406592,132577,1147.7400860964553,255832,2214.7781418061077,1570,0,1570,498,708,2540.4273470568523,2540.4273470568523,755.1662563135327,1138.6953949393644,0.650525560963436,2.213416938060449,1.1470346844696526
200414,WT Male,Cell 30,Male WTcell 30_3ADVMLEG1L1_ch2.tif,0.24371792672084353,0.24371792672084353,0.43000000000006366,micron,486,195,21,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 30/Male WTcell 30_3ADVMLEG1L1_ch2.tif,0.025541323956199555,wt,male,28,190376,4862.4550894854465,38774,990.3392950776815,119234,3045.3942205934977,527,0,527,110,236,1157.0829439600907,1157.0829439600907,235.29163897510264,474.41467376493347,0.23796270046013632,1.1683702239335356,0.3799452091081312
200414,WT Male,Cell 4,Male WT cell 4_3ADVMLEG1L1_ch2.tif,0.19270718913439785,0.19270718913439785,0.43000000000006366,micron,510,137,28,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 4/Male WT cell 4_3ADVMLEG1L1_ch2.tif,0.015968506119957017,wt,male,29,186212,2973.527461609436,43404,693.0970396306144,112055,1789.3509532717835,517,0,517,97,333,1019.8893648409089,1019.8893648409089,177.98614211860956,640.7152002401264,0.34298972449673926,1.471495774075818,0.5699772663244551
200414,WT Male,Cell 5,Male WT cell 5_3ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,micron,512,512,27,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 5/Male WT cell 5_3ADVMLEG1L1_ch2.tif,0.0034732753255551072,wt,male,30,538792,1871.3729592064874,122651,426.00069195465943,326434,1133.7951576222558,1177,0,1177,217,816,1604.8438166627625,1604.8438166627625,258.85769669890664,1115.5925949336201,0.8575756151479604,3.767232887108951,1.4154618723441796
200414,WT Male,Cell 6,Male WT cell 6_3ADVMLEG1L1_ch2.tif,0.14286910304205466,0.14286910304205466,0.43000000000006366,micron,510,265,27,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 6/Male WT cell 6_3ADVMLEG1L1_ch2.tif,0.00877697965973903,wt,male,31,441907,3878.608750496295,129156,1133.5995849332542,251469,2207.1382980549142,1454,0,1454,399,742,2408.735546464159,2408.735546464159,613.7140306890725,1216.0667292924632,0.6210308132151624,2.1248557060877755,1.0913387478197023
200414,WT Male,Cell 7,Male WT cell 7_3ADVMLEG1L1_ch2.tif,0.18832746379404508,0.18832746379404508,0.4299999999998363,micron,507,190,25,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 7/Male WT cell 7_3ADVMLEG1L1_ch2.tif,0.015250910456206059,wt,male,32,180626,2754.7109520626755,25787,393.27522793418564,120472,1837.3076844800562,498,0,498,38,380,993.4395871393484,993.4395871393484,63.24059967150744,769.9357977328016,0.36063296818690893,2.526067030353613,0.5407039852557326
200414,WT Male,Cell 9,Male WT cell 9_3ADVMLEG1L1_ch2.tif,0.1534519946917886,0.1534519946917886,0.4299999999998363,micron,512,512,38,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 9/Male WT cell 9_3ADVMLEG1L1_ch2.tif,0.010125431310198293,wt,male,33,330393,3345.3716268703447,78718,797.0537018761893,198818,2013.1180022310043,1045,0,1045,268,499,1906.2722203221217,1906.2722203221217,446.12158112420383,908.4942396064351,0.5698237544106494,2.3916484119387897,0.9469252265438626
200421,WT Male,Cell 1,WT Male 1_3ADVMLEG1L1_ch2.tif,0.1801393161443197,0.1801393161443197,0.43000000000006366,micron,450,304,27,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 1/WT Male 1_3ADVMLEG1L1_ch2.tif,0.013953574485007622,wt,male,34,220340,3074.5306020265793,43272,603.7990751152498,137003,1911.6815651694992,783,0,783,283,355,1468.3727699681688,1468.3727699681688,468.03668163821567,696.7842917304808,0.47759250436482553,2.431889730350935,0.7681053145678974
