,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
4200,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.4534770321476058,1.2459487731829515,1.166562432927715,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4201,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.6900231073549554,0.6900231073549554,1.0,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4202,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,1,1.8801369229071028,1.2754544103976997,1.4740918276497683,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4203,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,3,1.1753911549332898,0.0,inf,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4204,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.705183115150815,1.2754544103976997,1.33692204225404,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4205,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,1,0.8451022618746696,0.7453101391128526,1.133893419027682,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4206,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.7433965804559238,0.6606468279598969,1.1252556570226202,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4207,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,3,1.154093663789573,0.0,inf,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4208,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,1,0.37560100527763257,0.37560100527763257,1.0,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4209,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,1,1.2177573314310959,1.1529100236252505,1.0562466337155585,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4210,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,1,0.4808932673474459,0.4454080005473392,1.0796691275336336,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4211,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,0,0.39838502677844556,0.39838502677844556,1.0,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4212,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,0.7858768221748632,0.7278867220831798,1.0796691275336336,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4213,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,2.5261324514803576,1.8699748472161264,1.3508911391193672,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4214,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,1.4147347912059973,1.2607367848028346,1.1221492132691648,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4215,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,1,0.8812196682366777,0.8299185527752075,1.0618146386653506,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4216,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,1,0.6905339761130487,0.6905339761130487,1.0,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4217,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,1,1.897274482449224,1.4557734441663597,1.3032759252836126,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4218,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,1.706588790325595,1.6276041904974874,1.048528137423857,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
