graphID,length_3d,dist,tort
0,0.926497,2.828427,0.327566
0,1.478975,5.099020,0.290051
0,1.448094,6.164414,0.234912
0,1.874119,7.000000,0.267731
0,1.877399,8.544004,0.219733
0,1.326235,5.744563,0.230868
0,1.978133,7.681146,0.257531
0,1.925908,5.477226,0.351621
0,1.553637,7.071068,0.219718
0,0.812510,4.123106,0.197063
0,1.357116,4.123106,0.329149
0,1.634994,5.385165,0.303611
0,1.495290,5.385165,0.277668
0,1.464408,7.000000,0.209201
0,3.573613,9.055385,0.394640
0,3.177480,10.049876,0.316171
0,1.651309,5.099020,0.323848
0,2.062215,7.000000,0.294602
0,3.462185,13.190906,0.262468
0,1.819148,7.874008,0.231032
0,1.170215,4.472136,0.261668
0,1.503162,7.000000,0.214737
0,1.514884,6.324555,0.239524
0,2.957494,6.403124,0.461883
0,2.513840,9.643651,0.260673
0,1.254851,5.000000,0.250970
0,1.943299,3.741657,0.519368
0,1.153900,4.582576,0.251802
0,0.910182,2.236068,0.407046
0,2.615941,7.874008,0.332225
0,1.636743,8.306624,0.197041
0,1.254851,5.000000,0.250970
0,4.240251,11.832160,0.358367
0,3.139349,7.483315,0.419513
0,3.769964,10.049876,0.375125
0,1.718236,7.483315,0.229609
0,2.421787,8.774964,0.275988
0,1.755322,6.782330,0.258808
0,3.366129,6.782330,0.496309
0,0.690651,3.162278,0.218403
0,2.463308,6.782330,0.363195
0,0.862986,4.242641,0.203408
0,2.093516,7.280110,0.287566
0,0.807918,3.316625,0.243596
0,1.223970,5.916080,0.206889
0,1.098832,3.741657,0.293675
0,1.633464,5.196152,0.314360
0,3.108420,8.944272,0.347532
0,1.566966,3.316625,0.472458
0,1.591582,5.916080,0.269027
0,1.780232,5.099020,0.349132
0,0.828825,4.242641,0.195356
0,1.340182,3.741657,0.358179
0,5.333796,14.071247,0.379056
0,5.035099,11.000000,0.457736
0,10.733670,20.099751,0.534020
0,6.687914,21.470911,0.311487
0,6.639872,20.099751,0.330346
0,7.077386,28.231188,0.250694
0,6.904862,18.708287,0.369080
0,3.778848,17.464249,0.216376
0,5.150966,17.464249,0.294943
0,7.002714,21.470911,0.326149
0,5.582737,28.231188,0.197751
